1,Women , T-shirt,100,9,
2,Women , T-shirt,189,21,
3,Women , T-shirt,230,9,
4,Women , T-shirt,249,9,
5,Women , T-shirt,250,5,
6,Women , T-shirt,289,3,
7,Women , T-shirt,229,3,
8,Women , T-shirt,489,4,
,,,,,
1,Women ,Shirt,339,4,
2,Women ,Shirt,319,6,
,,,,,
1,Women ,Dress,939,1,
2,Women ,Dress,720,2,
3,Women ,Dress,749,4,
4,Women ,Dress,1080,3,
5,Women ,Dress,810,4,
6,Women ,Dress,1159,1,
,,,,,
1,Women ,Fancy Top,589,6,
2,Women ,Fancy Top,675,4,
3,Women ,Fancy Top,519,1,
4,Women ,Fancy Top,459,4,
5,Women ,Fancy Top,489,13,
6,Women ,Fancy Top,599,4,
7,Women ,Fancy Top,449,3,
8,Women ,Fancy Top,429,4,
9,Women ,Fancy Top,499,1,
,,,,,
1,Women ,Long Top,789,3,
2,Women ,Long Top,830,2,
3,Women ,Long Top,530,1,
4,Women ,Long Top,389,6,
5,Women ,Long Top,549,1,
6,Women ,Long Top,550,4,
7,Women ,Long Top,889,5,
8,Women ,Long Top,499,1,
9,Women ,Long Top,479,2,
10,Women ,Long Top,250,1,
11,Women ,Long Top,399,3,
12,Women ,Long Top,599,2,
13,Women ,Long Top,280,3,
14,Women ,Long Top,479,1,
15,Women ,Long Top,380,5,
16,Women ,Long Top,510,3,
17,Women ,Long Top,169,6,
18,Women ,Long Top,329,5,
19,Women ,Long Top,420,5,
20,Women ,Long Top,649,1,
21,Women ,Long Top,830,3,
22,Women ,Long Top,419,1,599
23,Women ,Long Top,589,1,
24,Women ,Long Top,489,1,
25,Women ,Long Top,619,5,
26,Women ,Long Top,959,1,
27,Women ,Long Top,559,2,
28,Women ,Long Top,410,3,
29,Women ,Long Top,380,3,
30,Women ,Long Top,689,2,
31,Women ,Long Top,369,2,
32,Women ,Long Top,290,4,
33,Women ,Long Top,190,2,
34,Women ,Long Top,99,3,
35,Women ,Long Top,650,2,
36,Women ,Long Top,789,1,
37,Women ,Long Top,590,1,
38,Women ,Long Top,799,2,
39,Women ,Long Top,680,1,
40,Women ,Long Top,560,1,
41,Women ,Long Top,890,1,
42,Women ,Long Top,225,7,
43,Women ,Long Top,249,5,
44,Women ,Long Top,229,1,
45,Women ,Long Top,349,4,
46,Women ,Long Top,379,7,
47,Women ,Long Top,359,10,
48,Women ,Long Top,499,4,
49,Women ,Long Top,569,4,
50,Women ,Long Top,289,4,
,,,,,
1,Women ,Short Top,579,2,
2,Women ,Short Top,589,19,
3,Women ,Short Top,689,2,
4,Women ,Short Top,499,2,
5,Women ,Short Top,459,2,
6,Women ,Short Top,489,2,
7,Women ,Short Top,389,3,
8,Women ,Short Top,450,1,
9,Women ,Short Top,380,1,
10,Women ,Short Top,510,1,
11,Women ,Short Top,150,1,
12,Women ,Short Top,759,3,
13,Women ,Short Top,579,3,
14,Women ,Short Top,350,2,
15,Women ,Short Top,250,4,
16,Women ,Short Top,300,1,
17,Women ,Short Top,329,2,
18,Women ,Short Top,230,2,
19,Women ,Short Top,280,2,
20,Women ,Short Top,250,3,
,,,,,
1,Women ,Paratha ,1289,3,
2,Women ,Paratha ,689,6,
3,Women ,Paratha ,789,1,
4,Women ,Paratha ,1389,1,
5,Women ,pharash,2489,1,
6,Women ,Paratha cap ,20,20,
7,Women ,Paratha shawl,100,2,
8,Women ,Paratha shawl,110,1,
9,Women ,maftha,349,7,
10,Women ,Niskara kuppayam,349,3,
11,Women ,Niskara kuppayam,379,2,
,,,,,
1,Women ,Palazzo / pattiyala,150,3,
2,Women ,Palazzo / pattiyala,619,1,1299
3,Women ,Palazzo / pattiyala,420,1,
4,Women ,Palazzo / pattiyala,135,1,
5,Women ,Palazzo / pattiyala,240,2,
6,Women ,Palazzo / pattiyala,250,1,
7,Women ,Palazzo / pattiyala,249,2,
8,Women ,Palazzo / pattiyala,589,1,
9,Women ,Palazzo / pattiyala,199,4,
10,Women ,Palazzo / pattiyala,589,1,1199
11,Women ,Palazzo / pattiyala,389,1,
12,Women ,Palazzo / pattiyala,290,1,
13,Women ,Palazzo / pattiyala,299,1,
14,Women ,Palazzo / pattiyala,249,7,
,,,,,
1,Women ,Leggings,140,23,
2,Women ,Leggings,159,12,
3,Women ,Leggings,150,1,
,,,,,
1,Women ,Jeggings,225,3,
2,Women ,Jeggings,139,10,
3,Women ,Jeggings,199,4,
4,Women ,Jeggings,229,2,
5,Women ,Jeggings,270,3,
6,Women ,Jeggings,249,7,
7,Women ,Jeggings,219,11,
8,Women ,Jeggings,270,9,
,,,,,
1,Women ,Ladies 3/4 th / Jeans ,669,6,
2,Women ,Ladies 3/4 th / Jeans ,919,5,
3,Women ,Ladies 3/4 th / Jeans ,799,1,
4,Women ,Ladies 3/4 th / Jeans ,729,1,
5,Women ,Ladies 3/4 th / Jeans ,489,3,
,,,,,
1,Women ,Formal pants,329,1,
2,Women ,Formal pants,290,1,
3,Women ,Parallel Pants,230,1,
4,Women ,Cigar pants,420,3,495
5,Women ,Normal pants,199,2,
,,,,,
1,Women ,Half Middy,190,2,
2,Women ,Full Middy,390,2,
3,Women ,Full Middy,240,1,
4,Women ,Full Middy,300,1,
5,Women ,Full Middy,249,5,
6,Women ,Full Middy,250,3,
7,Women ,Full Middy,289,6,
,,,,,
1,Women ,Short Shrugg,320,2,
2,Women ,Long Shrugg,489,1,
,,,,,
1,Women ,Ladies  Shorts,150,2,
,,,,,
1,Women ,Ladies Night Wares Set,389,7,
2,Women ,Ladies Night Wares Shiffon Maxy,349,3,
3,Women ,Ladies Night Wares Cotton Maxy,249,4,
,,,,,
,,,,,
1,Women ,Ladies Inner Wares(Panty-1),50,13,68
2,Women ,Ladies Inner Wares(Bra),90,60,100
3,Women ,Ladies Inner Wares(Padded Bra),110,18,113
4,Women ,Ladies Inner Wares(Slip),75,12,
5,Women ,Ladies Inner Wares(Cotton Round Bra),85,12,
6,Women ,Ladies Inner Wares(Panty-3),59,12,
7,Women ,Ladies Inner Wares(Panty-2),55,56,
8,Women ,Ladies Inner Wares(Sports Bra),100,5,
,,,,,
1,Women ,Saree ,390,3,
2,Women ,Saree,750,1,
3,Women ,Saree,380,1,
4,Women ,Saree,610,1,
5,Women ,Saree,910,1,
,,,,,
1,Women ,Normal Shawl,130,7,
2,Women ,Work Shawl,289,1,
3,Women ,Work Shawl,300,1,
4,Women ,Work Shawl,320,1,
5,Women ,Normal Shawl,99,24,
6,Women ,Normal Shawl,120,5,
7,Women ,scarf,60,9,
8,Women ,Normal Shawl,140,6,
9,Women ,Normal Shawl,170,4,
10,Women ,Normal Shawl,160,5,
11,Women ,Plain Shawl,80,13,
12,Women ,Normal Shawl,120,6,
,,,,,
1,Women ,Ladies Paijama Set,429,4,999
,,,,,
1,Women ,Palazo Set,425,4,
,,,,,
1,Women ,Churidahar Material,390,10,
2,Women ,Churidahar Material,2000,2,
3,Women ,Churidahar Material,2400,1,
4,Women ,Churidahar Material,2340,1,
5,Women ,Churidahar Material,1200,2,
6,Women ,Churidahar Material,1100,1,
7,Women ,Churidahar Material,1900,1,
,,,,,
1,Women ,Running Material (per meter),210,26,
2,Women ,Running Material (per meter),150,37,
3,Women ,Running Material (per meter),200,30,
4,Women ,Running Material (per meter),300,8,
,,,,,
1,Men, T-shirt,120,9,
2,Men, T-shirt,159,24,
3,Men, T-shirt,250,15,
4,Men, T-shirt,329,5,
5,Men, T-shirt,299,10,
6,Men, T-shirt,450,3,999
7,Men, T-shirt,289,6,
8,Men, T-shirt,410,6,
,,,,,
1,Men,Men Inner Wares(Trunk),200,9,
2,Men,Men Inner Wares(Brief),239,10,
,,,,,
1,Men,Men Short / Track suit,349,3,
2,Men,Men Short / Track suit,450,3,
3,Men,Men Short / Track suit,120,11,
4,Men,Men Short / Track suit,130,4,
5,Men,Men Short / Track suit,170,12,
,,,,,
1,New Born,Baby Full Dress,289,3,
2,New Born,Baby Body Suit,149,8,
3,New Born,Gift Box,275,5,
4,New Born,Baby Dress,75,30,
5,New Born,Baby Sleepsuits,239,3,
6,New Born,Baby Sleeveless Printed Sleeping Bags,290,4,
,,,,,
1,Kids,Kids dress,289,11,
2,Kids,Girls Shorts Set(2 piece),299,4,
3,Kids,Girls Dress with Panty,240,3,
4,Kids,Boys Pyjama Set,180,5,
5,Kids,Girls Leggings,189,5,
